                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4339,                 1.2599,                 1.5252,                0.81705,                0.66667,                0.79649,                0.47172,                 1.3797,                   1.12,                 1.4952,               0.006733,               0.006733,               0.006733
                     36,                  1.425,                  1.245,                  1.515,                0.74553,                0.71416,                0.78437,                0.46176,                 1.3865,                 1.1016,                 1.5157,               0.006634,               0.006634,               0.006634
                     37,                  1.434,                 1.2357,                 1.5252,                0.76793,                0.70941,                 0.7895,                0.47007,                 1.3576,                 1.1025,                 1.4805,               0.006535,               0.006535,               0.006535
                     38,                  1.422,                 1.2179,                 1.5087,                0.75274,                 0.6931,                0.78554,                0.46582,                 1.3506,                  1.121,                 1.4815,               0.006436,               0.006436,               0.006436
                     39,                 1.4226,                 1.2398,                 1.5097,                0.75656,                0.71366,                0.78047,                0.46532,                 1.3725,                 1.1077,                 1.4923,               0.006337,               0.006337,               0.006337
                     40,                 1.4255,                 1.2166,                 1.5048,                0.81463,                0.68576,                0.80237,                0.47814,                 1.3631,                 1.0741,                 1.4873,               0.006238,               0.006238,               0.006238
                     41,                 1.4109,                 1.2143,                 1.5058,                0.80096,                0.67841,                0.80064,                0.48602,                 1.3611,                 1.0673,                 1.4822,               0.006139,               0.006139,               0.006139
                     42,                 1.4151,                 1.2054,                 1.5027,                0.80719,                0.67401,                0.81171,                0.48665,                 1.3526,                 1.0551,                 1.4774,                0.00604,                0.00604,                0.00604
                     43,                  1.415,                 1.2082,                 1.5079,                 0.7571,                0.69569,                0.78457,                0.47325,                 1.3747,                 1.0955,                 1.4841,               0.005941,               0.005941,               0.005941
                     44,                  1.403,                  1.187,                 1.4861,                 0.7777,                0.71219,                0.80127,                0.48423,                 1.3391,                 1.0545,                 1.4485,               0.005842,               0.005842,               0.005842
                     45,                 1.3883,                 1.1683,                 1.4858,                0.78405,                 0.7091,                0.80764,                0.49075,                 1.3524,                 1.0517,                 1.4609,               0.005743,               0.005743,               0.005743
                     46,                 1.3982,                 1.1937,                 1.4974,                0.74619,                0.71953,                0.79971,                0.49014,                 1.3397,                 1.0538,                 1.4538,               0.005644,               0.005644,               0.005644
                     47,                 1.3788,                 1.1664,                 1.4735,                 0.7623,                0.74009,                0.79935,                0.48152,                 1.3506,                 1.0663,                 1.4623,               0.005545,               0.005545,               0.005545
                     48,                  1.378,                 1.1744,                 1.4745,                0.79149,                0.69674,                0.81337,                0.49204,                 1.3384,                 1.0315,                 1.4527,               0.005446,               0.005446,               0.005446
                     49,                  1.367,                 1.1526,                 1.4665,                0.80525,                0.68001,                0.80305,                0.49019,                 1.3398,                 1.0449,                 1.4527,               0.005347,               0.005347,               0.005347
                     50,                  1.374,                 1.1577,                 1.4684,                0.79872,                0.72247,                0.81148,                0.49634,                 1.3516,                 1.0363,                 1.4571,               0.005248,               0.005248,               0.005248
                     51,                 1.3619,                 1.1464,                 1.4618,                0.81404,                0.69422,                0.81136,                0.48974,                  1.344,                 1.0325,                 1.4539,               0.005149,               0.005149,               0.005149
                     52,                   1.36,                 1.1428,                 1.4568,                0.71211,                 0.7555,                0.80364,                0.49125,                 1.3322,                 1.0468,                 1.4509,                0.00505,                0.00505,                0.00505
                     53,                 1.3433,                 1.1186,                 1.4535,                0.77054,                0.70338,                0.81161,                0.49781,                 1.3366,                 1.0146,                 1.4526,               0.004951,               0.004951,               0.004951
                     54,                 1.3545,                 1.1304,                 1.4562,                0.75549,                0.73503,                0.81466,                0.49439,                 1.3425,                 1.0292,                 1.4578,               0.004852,               0.004852,               0.004852
                     55,                 1.3343,                 1.1233,                 1.4451,                0.79498,                0.71512,                0.81553,                0.50452,                 1.3241,                 1.0118,                 1.4431,               0.004753,               0.004753,               0.004753
                     56,                 1.3357,                 1.1096,                 1.4447,                0.76885,                0.72778,                0.81847,                0.50582,                 1.3242,                 1.0082,                 1.4384,               0.004654,               0.004654,               0.004654
                     57,                 1.3478,                 1.1276,                 1.4439,                0.72198,                0.76265,                0.80941,                0.49678,                 1.3234,                 1.0109,                 1.4266,               0.004555,               0.004555,               0.004555
                     58,                 1.3304,                  1.095,                 1.4298,                0.80016,                0.71142,                0.82397,                 0.5077,                 1.3208,                 1.0074,                 1.4441,               0.004456,               0.004456,               0.004456
                     59,                 1.3222,                 1.0864,                 1.4297,                0.80531,                0.73275,                0.82462,                  0.507,                 1.3019,                 1.0015,                 1.4207,               0.004357,               0.004357,               0.004357
                     60,                 1.3467,                 1.1024,                  1.438,                0.83853,                0.69163,                0.81587,                0.51149,                 1.3107,                0.98296,                 1.4373,               0.004258,               0.004258,               0.004258
                     61,                 1.3122,                 1.0852,                 1.4218,                 0.8213,                0.68166,                0.81418,                0.50304,                 1.3152,                0.99839,                 1.4295,               0.004159,               0.004159,               0.004159
                     62,                 1.3258,                 1.0751,                 1.4305,                0.81457,                0.72981,                0.82491,                0.50784,                 1.3194,                0.98582,                 1.4237,                0.00406,                0.00406,                0.00406
                     63,                 1.3074,                  1.061,                 1.4219,                0.78788,                0.72543,                0.82005,                0.50925,                 1.3257,                0.99226,                 1.4339,               0.003961,               0.003961,               0.003961
                     64,                 1.3126,                 1.0675,                 1.4316,                0.81546,                0.71512,                0.82387,                0.50906,                 1.3259,                0.99055,                 1.4399,               0.003862,               0.003862,               0.003862
                     65,                 1.3081,                 1.0534,                 1.4216,                0.80238,                0.71072,                0.82829,                0.51514,                 1.3019,                0.97994,                 1.4149,               0.003763,               0.003763,               0.003763
                     66,                 1.3086,                 1.0615,                 1.4158,                0.77364,                0.73568,                0.81639,                0.50341,                 1.3125,                0.98615,                 1.4283,               0.003664,               0.003664,               0.003664
                     67,                 1.2958,                 1.0366,                 1.4126,                0.79847,                0.73307,                0.82881,                0.51394,                 1.3202,                0.97147,                 1.4279,               0.003565,               0.003565,               0.003565
                     68,                 1.2934,                 1.0436,                 1.4078,                0.82461,                0.72494,                0.82948,                0.50972,                 1.3201,                 0.9863,                 1.4343,               0.003466,               0.003466,               0.003466
                     69,                 1.2899,                 1.0408,                 1.4129,                0.82987,                0.70631,                0.83202,                0.51409,                 1.3175,                0.95727,                  1.426,               0.003367,               0.003367,               0.003367
                     70,                 1.2849,                 1.0308,                 1.4025,                0.82415,                0.70883,                 0.8221,                0.51675,                 1.3069,                0.98539,                  1.427,               0.003268,               0.003268,               0.003268
