                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4337,                 1.2553,                   1.54,                0.71322,                0.66135,                0.74183,                 0.4385,                 1.4217,                 1.1476,                 1.5011,               0.006733,               0.006733,               0.006733
                     36,                 1.4255,                 1.2404,                 1.5293,                0.73464,                0.65339,                0.75423,                0.44651,                 1.4348,                 1.1424,                 1.5132,               0.006634,               0.006634,               0.006634
                     37,                 1.4086,                 1.2033,                  1.517,                0.78676,                0.64011,                0.75792,                0.45034,                 1.3931,                 1.1341,                 1.4637,               0.006535,               0.006535,               0.006535
                     38,                 1.4012,                 1.2255,                 1.5025,                0.74914,                 0.6742,                0.75504,                0.44142,                 1.4216,                 1.1549,                 1.5107,               0.006436,               0.006436,               0.006436
                     39,                 1.4147,                 1.2132,                 1.5067,                0.77087,                0.66572,                0.76906,                 0.4562,                 1.4199,                  1.121,                 1.4966,               0.006337,               0.006337,               0.006337
                     40,                 1.4056,                 1.2121,                 1.5017,                0.74896,                 0.6379,                0.75134,                0.45092,                 1.3787,                 1.1276,                 1.4769,               0.006238,               0.006238,               0.006238
                     41,                 1.3911,                 1.1941,                 1.4957,                0.77839,                 0.6587,                 0.7715,                0.45254,                 1.3996,                 1.1395,                 1.4906,               0.006139,               0.006139,               0.006139
                     42,                 1.3859,                 1.1877,                 1.4922,                0.78294,                0.64807,                0.77629,                0.45666,                 1.3856,                 1.1075,                 1.4572,                0.00604,                0.00604,                0.00604
                     43,                 1.3944,                 1.1882,                  1.491,                0.78468,                0.66304,                0.77152,                0.45521,                 1.3892,                 1.1011,                 1.4731,               0.005941,               0.005941,               0.005941
                     44,                 1.3821,                 1.1618,                 1.4787,                0.76878,                0.67862,                0.77829,                0.46092,                  1.393,                 1.0917,                 1.4703,               0.005842,               0.005842,               0.005842
                     45,                 1.3851,                 1.1664,                 1.4776,                0.75686,                0.67383,                0.77078,                0.45798,                  1.393,                 1.0955,                 1.4793,               0.005743,               0.005743,               0.005743
                     46,                 1.3702,                 1.1452,                 1.4678,                0.73517,                0.68792,                0.78891,                0.46679,                 1.4028,                 1.0696,                 1.4826,               0.005644,               0.005644,               0.005644
                     47,                 1.3585,                 1.1358,                 1.4672,                0.76809,                0.67065,                0.77165,                0.45988,                 1.4001,                 1.1049,                 1.4671,               0.005545,               0.005545,               0.005545
                     48,                 1.3664,                 1.1446,                 1.4582,                0.72602,                0.70029,                0.77959,                0.46836,                   1.38,                 1.0796,                 1.4633,               0.005446,               0.005446,               0.005446
                     49,                 1.3659,                 1.1235,                 1.4558,                 0.7098,                0.72776,                0.77697,                0.45226,                 1.3877,                 1.0819,                 1.4548,               0.005347,               0.005347,               0.005347
                     50,                 1.3574,                 1.1244,                 1.4632,                 0.7221,                0.70518,                0.77843,                0.47075,                 1.3729,                 1.0718,                 1.4636,               0.005248,               0.005248,               0.005248
                     51,                 1.3643,                 1.1475,                  1.464,                0.76919,                0.67995,                0.77631,                0.45923,                 1.4028,                 1.0697,                 1.4767,               0.005149,               0.005149,               0.005149
                     52,                 1.3559,                 1.1369,                 1.4607,                 0.7475,                0.70766,                0.78502,                0.46828,                 1.3851,                 1.0609,                 1.4499,                0.00505,                0.00505,                0.00505
                     53,                   1.35,                 1.1086,                 1.4537,                0.76495,                0.68526,                 0.7896,                0.47118,                 1.3769,                 1.0666,                 1.4604,               0.004951,               0.004951,               0.004951
                     54,                 1.3567,                 1.1229,                 1.4539,                0.74839,                0.71891,                0.79637,                0.47113,                 1.3639,                 1.0462,                 1.4495,               0.004852,               0.004852,               0.004852
                     55,                 1.3446,                 1.1122,                 1.4444,                 0.8038,                0.67065,                0.78416,                 0.4711,                 1.3713,                 1.0607,                  1.446,               0.004753,               0.004753,               0.004753
                     56,                 1.3338,                 1.1038,                 1.4399,                0.77993,                0.67774,                0.78839,                0.47219,                 1.3702,                 1.0521,                 1.4468,               0.004654,               0.004654,               0.004654
                     57,                 1.3196,                 1.0835,                 1.4275,                0.75058,                0.72333,                0.79133,                0.47538,                 1.3652,                 1.0402,                 1.4281,               0.004555,               0.004555,               0.004555
                     58,                  1.332,                 1.0851,                 1.4317,                0.76838,                 0.7225,                0.79652,                0.47537,                 1.3703,                 1.0329,                 1.4413,               0.004456,               0.004456,               0.004456
                     59,                 1.3159,                 1.0818,                 1.4327,                0.76016,                0.70651,                0.78338,                0.47157,                 1.3726,                 1.0588,                  1.459,               0.004357,               0.004357,               0.004357
                     60,                 1.3066,                 1.0575,                 1.4287,                0.72238,                0.73705,                0.78773,                0.47663,                 1.3655,                 1.0057,                  1.448,               0.004258,               0.004258,               0.004258
                     61,                 1.3128,                 1.0649,                 1.4228,                 0.7514,                0.73572,                0.79917,                0.48145,                 1.3562,                 1.0219,                  1.437,               0.004159,               0.004159,               0.004159
                     62,                 1.3063,                 1.0738,                 1.4207,                0.77223,                 0.7158,                 0.8093,                0.48697,                 1.3558,                 1.0136,                 1.4405,                0.00406,                0.00406,                0.00406
                     63,                 1.2969,                 1.0656,                 1.4141,                0.80263,                0.66799,                0.79168,                0.47305,                 1.3731,                 1.0311,                 1.4402,               0.003961,               0.003961,               0.003961
                     64,                 1.2972,                 1.0533,                 1.4111,                 0.7945,                0.68526,                 0.7919,                0.47918,                 1.3623,                 1.0272,                 1.4427,               0.003862,               0.003862,               0.003862
                     65,                 1.2887,                 1.0517,                 1.4067,                 0.7881,                0.69148,                0.79579,                0.47742,                 1.3453,                   1.02,                 1.4252,               0.003763,               0.003763,               0.003763
                     66,                 1.2862,                 1.0448,                 1.4191,                0.76116,                0.72377,                0.79968,                0.48603,                 1.3509,                 1.0062,                 1.4416,               0.003664,               0.003664,               0.003664
                     67,                 1.2851,                 1.0399,                 1.4048,                0.80248,                0.69063,                0.80524,                0.48678,                 1.3508,                 1.0064,                 1.4283,               0.003565,               0.003565,               0.003565
                     68,                 1.2821,                 1.0338,                 1.4055,                0.78242,                0.72377,                0.80994,                0.48872,                 1.3559,                0.98524,                 1.4367,               0.003466,               0.003466,               0.003466
                     69,                 1.2879,                 1.0236,                 1.4099,                0.76677,                0.71315,                0.79314,                0.48176,                 1.3397,                 1.0214,                 1.4219,               0.003367,               0.003367,               0.003367
                     70,                 1.2838,                 1.0269,                 1.4125,                0.82826,                 0.6789,                0.79456,                0.48005,                 1.3659,                 1.0157,                 1.4443,               0.003268,               0.003268,               0.003268
                     71,                 1.2744,                 1.0206,                 1.3985,                0.80768,                0.69854,                 0.7957,                0.48299,                 1.3344,                 1.0106,                 1.4103,               0.003169,               0.003169,               0.003169
                     72,                  1.267,                 1.0123,                 1.3827,                0.81223,                0.70082,                0.80816,                0.48573,                 1.3591,                0.99316,                 1.4293,                0.00307,                0.00307,                0.00307
                     73,                 1.2663,                 1.0103,                 1.4003,                0.77212,                0.71448,                0.80257,                0.48488,                  1.357,                 1.0023,                 1.4324,               0.002971,               0.002971,               0.002971
                     74,                 1.2411,                0.97814,                 1.3701,                0.77461,                0.72244,                0.81014,                0.49254,                 1.3446,                0.98736,                 1.4223,               0.002872,               0.002872,               0.002872
                     75,                 1.2615,                 0.9863,                  1.391,                0.78467,                0.72244,                0.79682,                0.49275,                 1.3477,                0.99737,                 1.4273,               0.002773,               0.002773,               0.002773
                     76,                 1.2519,                 0.9903,                 1.3747,                0.79232,                0.72776,                0.81312,                0.49209,                 1.3351,                0.97468,                 1.4151,               0.002674,               0.002674,               0.002674
